node1,node2,Heuristic distance,route_distance
Agra,Lucknow,294,330
Agra,Rajsamand,474,574
Agra,Raebareli,339,401
Agra,Patna,732,839
Agra,Gaya,748,871
Agra,Kota,305,401
Agra,Sikar,287,353
Agra,Prayagraj,429,472
Agra,Bhopal,438,536
Agra,Una,504,610
Agra,Bundi,304,408
Agra,Sarangarh,804,1002
Agra,Lakhimpur,286,363
Agra,Madhepura,840,970
Agra,Arrah,688,787
Agra,Daudnagar,681,800
Agra,Belagavi,1305,1561
Agra,Hanamkonda,1027,1257
Agra,Sitamarhi,747,887
Agra,Morena,75,82
Agra,Agra,0,0
Agra,Sitapur,267,326
Agra,Delhi,191,227
Agra,Faridabad,152,178
Agra,Jodhpur,506,570
Agra,Mahoba,280,371
Agra,Pakur,1025,1218
Agra,Sagar,376,421
Agra,Baghpat,210,270
Agra,Nawada,795,931
Agra,Bikaner,472,571
Agra,Mirzapur,508,567
Agra,Ghazipur,582,677
Agra,Jaipur,222,239
Agra,Durgapur,1019,1104
Agra,Chitrakoot,361,426
Agra,Aligarh,80,91
Agra,Rohtas,644,728
Agra,Palamu,715,886
Agra,Araria,947,1098
Agra,Dholpur,54,55
Agra,Calicut,1777,2233
Agra,Jehanabad,730,872
Agra,Bhagalpur,921,1070
Agra,Sri Ganganagar,504,620
Agra,Balaghat,633,793
Aligarh,Lucknow,305,333
Aligarh,Rajsamand,523,619
Aligarh,Raebareli,364,404
Aligarh,Patna,746,842
Aligarh,Gaya,770,874
Aligarh,Kota,370,446
Aligarh,Sikar,292,358
Aligarh,Prayagraj,462,501
Aligarh,Bhopal,518,630
Aligarh,Una,433,505
Aligarh,Bundi,365,453
Aligarh,Sarangarh,862,1095
Aligarh,Lakhimpur,264,328
Aligarh,Madhepura,844,973
Aligarh,Arrah,703,790
Aligarh,Daudnagar,704,803
Aligarh,Belagavi,1384,1660
Aligarh,Hanamkonda,1105,1350
Aligarh,Sitamarhi,748,890
Aligarh,Morena,155,175
Aligarh,Agra,80,93
Aligarh,Sitapur,258,306
Aligarh,Delhi,131,163
Aligarh,Faridabad,94,117
Aligarh,Jodhpur,534,615
Aligarh,Mahoba,339,444
Aligarh,Pakur,1039,1221
Aligarh,Sagar,454,514
Aligarh,Baghpat,143,165
Aligarh,Nawada,815,934
Aligarh,Bikaner,470,525
Aligarh,Mirzapur,541,597
Aligarh,Ghazipur,603,680
Aligarh,Jaipur,252,284
Aligarh,Durgapur,1044,1133
Aligarh,Chitrakoot,409,491
Aligarh,Aligarh,0,0
Aligarh,Rohtas,668,773
Aligarh,Palamu,751,916
Aligarh,Araria,949,1101
Aligarh,Dholpur,134,148
Aligarh,Calicut,1857,2326
Aligarh,Jehanabad,748,875
Aligarh,Bhagalpur,932,1073
Aligarh,Sri Ganganagar,467,588
Aligarh,Balaghat,706,886
Araria,Lucknow,653,763
Araria,Rajsamand,1367,1635
Araria,Raebareli,619,731
Araria,Patna,239,313
Araria,Gaya,287,396
Araria,Kota,1167,1396
Araria,Sikar,1233,1448
Araria,Prayagraj,567,673
Araria,Bhopal,1064,1294
Araria,Una,1240,1617
Araria,Bundi,1186,1428
Araria,Sarangarh,672,962
Araria,Lakhimpur,691,830
Araria,Madhepura,107,131
Araria,Arrah,286,355
Araria,Daudnagar,330,417
Araria,Belagavi,1761,2176
Araria,Hanamkonda,1213,1647
Araria,Sitamarhi,201,238
Araria,Morena,945,1113
Araria,Agra,947,1096
Araria,Sitapur,691,853
Araria,Delhi,1061,1275
Araria,Faridabad,1034,1272
Araria,Jodhpur,1441,1665
Araria,Mahoba,764,911
Araria,Pakur,170,236
Araria,Sagar,915,1126
Araria,Baghpat,1056,1278
Araria,Nawada,236,320
Araria,Bikaner,1417,1666
Araria,Mirzapur,503,597
Araria,Ghazipur,393,470
Araria,Jaipur,1165,1334
Araria,Durgapur,289,382
Araria,Chitrakoot,669,799
Araria,Aligarh,949,1111
Araria,Rohtas,364,449
Araria,Palamu,422,573
Araria,Araria,0,0
Araria,Dholpur,955,1126
Araria,Calicut,2052,2617
Araria,Jehanabad,267,362
Araria,Bhagalpur,110,137
Araria,Sri Ganganagar,1397,1716
Araria,Balaghat,880,1210
Arrah,Lucknow,398,452
Arrah,Rajsamand,1086,1325
Arrah,Raebareli,350,421
Arrah,Patna,47,52
Arrah,Gaya,90,130
Arrah,Kota,886,1086
Arrah,Sikar,975,1138
Arrah,Prayagraj,283,308
Arrah,Bhopal,778,940
Arrah,Una,1050,1307
Arrah,Bundi,906,1118
Arrah,Sarangarh,468,639
Arrah,Lakhimpur,468,595
Arrah,Madhepura,185,224
Arrah,Arrah,0,0
Arrah,Daudnagar,63,87
Arrah,Belagavi,1507,1820
Arrah,Hanamkonda,988,1321
Arrah,Sitamarhi,141,171
Arrah,Morena,675,802
Arrah,Agra,688,786
Arrah,Sitapur,455,543
Arrah,Delhi,826,964
Arrah,Faridabad,794,961
Arrah,Jodhpur,1168,1354
Arrah,Mahoba,481,557
Arrah,Pakur,336,432
Arrah,Sagar,629,772
Arrah,Baghpat,826,967
Arrah,Nawada,115,155
Arrah,Bikaner,1161,1356
Arrah,Mirzapur,216,242
Arrah,Ghazipur,109,122
Arrah,Jaipur,899,1024
Arrah,Durgapur,350,443
Arrah,Chitrakoot,384,445
Arrah,Aligarh,703,801
Arrah,Rohtas,84,94
Arrah,Palamu,198,247
Arrah,Araria,286,352
Arrah,Dholpur,689,816
Arrah,Calicut,1838,2328
Arrah,Jehanabad,49,80
Arrah,Bhagalpur,234,283
Arrah,Sri Ganganagar,1167,1406
Arrah,Balaghat,616,855
Baghpat,Lucknow,433,496
Baghpat,Rajsamand,542,661
Baghpat,Raebareli,498,567
Baghpat,Patna,866,1005
Baghpat,Gaya,898,1037
Baghpat,Kota,434,542
Baghpat,Sikar,252,307
Baghpat,Prayagraj,600,664
Baghpat,Bhopal,629,853
Baghpat,Una,294,348
Baghpat,Bundi,419,549
Baghpat,Sarangarh,1005,1265
Baghpat,Lakhimpur,364,430
Baghpat,Madhepura,954,1136
Baghpat,Arrah,826,953
Baghpat,Daudnagar,833,966
Baghpat,Belagavi,1476,1756
Baghpat,Hanamkonda,1234,1520
Baghpat,Sitamarhi,856,1053
Baghpat,Morena,281,345
Baghpat,Agra,210,265
Baghpat,Sitapur,371,433
Baghpat,Delhi,29,48
Baghpat,Faridabad,59,67
Baghpat,Jodhpur,511,593
Baghpat,Mahoba,482,607
Baghpat,Pakur,1158,1384
Baghpat,Sagar,585,684
Baghpat,Baghpat,0,0
